"Adresse","Häufigkeit","H2-1","Länge von H2-1","H2-2","Länge von H2-2","Indexierbarkeit","Indexierbarkeitsstatus"
"https://www.delst.de/de/","2","12 Themengebiete für dein Fernstudium","37","IHK-Abschlüsse","14","Indexierbar",""
"https://www.delst.de/de/stellenangebote/","2","WACHSE MIT UNS UND FINDE DEINEN TRAUMJOB AM DELST!","50","OFFENE STELLENANGEBOTE:","23","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/","2","Fitnessmanagement Aus- und Weiterbildungen","42","Gesundheitsmanagement Aus- und Weiterbildungen","46","Indexierbar",""
"https://www.delst.de/de/news/neu-pruefungstraining-wirtschaftsbezogene-qualifikationen-ihk/","2","Jetzt anmelden und durchstarten!","32","Das klingt spannend für dich? Dann informiere dich jetzt!","57","Indexierbar",""
"https://www.delst.de/de/studieninfos/","1","Informationen zu deinem Fernstudium am DeLSt","44","","0","Indexierbar",""
"https://www.delst.de/de/kalender-bildungsberatung/","0","","0","","0","Indexierbar",""
"https://www.delst.de/de/ueber-uns/","2","Willkommen beim Deutschen eLearning Studieninstitut (DeLSt)","59","Das DeLSt - unsere Aufgabengebiete","34","Indexierbar",""
"https://www.delst.de/de/foerdermoeglichkeiten/","2","Fördern lassen","14","Weitere Finanzierungswege","25","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/","2","Zielgerichtete Weiterbildungen im Bereich Reitsport","51","Welcher Lehrgang im Bereich Reitsport ist die richtige für mich?","64","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/industriefachwirt-ihk-fernstudium/","2","Informationen zum Fernstudium geprüfter Industriefachwirt (IHK)","63","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/weiterbildung-arbeitsamt/","2","Aus- und Weiterbildung per Bildungsgutschein am DeLSt - der Start in deine Karriere","83","Der Bildungsgutschein - Förderung der kompletten Kosten für deine Weiterbildung","79","Indexierbar",""
"https://www.delst.de/de/rabattaktionen/think-outside-the-box/","2","Spare mit dem Code ""OutsideTheBox"" 30% auf ALLE unsere Aus- und Weiterbildungen!","80","Wähle aus den untenstehenden Kategorien deinen Wunschlehrgang aus","65","Nicht indexierbar","noindex"
"https://www.delst.de/de/rechnungswesen-online/","0","","0","","0","Indexierbar",""
"https://www.delst.de/de/affiliate-partnerprogramm/","2","Du hast einen schönen Blog, eine tolle Website oder liebst Facebook, Instagram, YouTube & Co?","93","Deine Vorteile als Affiliate-Partner","36","Indexierbar",""
"https://www.delst.de/de/news/e-sports-manager-ihk-neuer-fernlehrgang/","2","Kooperation mit der IHK","23","Online-Informationsveranstaltung am 11.07.2024","46","Indexierbar",""
"https://www.delst.de/de/kalender-videoberatung/","0","","0","","0","Indexierbar",""
"https://www.delst.de/de/master-professional/","2","Master Professional - was bedeutet die neue Abschlussbezeichnung?","65","Gründe für die Einführung der Ergänzung des Abschlusstitels Master Professional","79","Indexierbar",""
"https://www.delst.de/de/newsbeitraege/","0","","0","","0","Indexierbar",""
"https://www.delst.de/de/lexikon/","0","","0","","0","Nicht indexierbar","Canonicalised"
"https://www.delst.de/de/magazinbeitraege/","0","","0","","0","Indexierbar",""
"https://www.delst.de/de/deutsches-elearning-studieninstitut/","1","Innovative und berufsbegleitende Aus- und Weiterbildungen","57","","0","Indexierbar",""
"https://www.delst.de/de/faq/","2","Allgemein","9","Fernstudiengänge","16","Indexierbar",""
"https://www.delst.de/de/wirtschaftsfachwirt/","2","Geprüfter Wirtschaftsfachwirt IHK: deine persönliche und unabhängige Beförderung","80","Weiterbildung zum geprüften Wirtschaftsfachwirt IHK - was wird dafür benötigt","77","Indexierbar",""
"https://www.delst.de/de/digitalisierung-unternehmen-digitale-arbeitswelt/","2","Digitale Transformation - neue Technologien bergen neue Möglichkeiten","69","Was verbirgt sich hinter dem Begriff der Digitalisierung?","57","Indexierbar",""
"https://www.delst.de/de/bildungscoach/","2","Schritt 1 - Für was interessieren Sie sich?","43","Schritt 2 - Ihre Ziele","22","Indexierbar",""
"https://www.delst.de/de/online-campus/","2","Der Online-Campus - deine ganz persönliche Lernwelt","51","Deine Lehrskripte als PDF","25","Indexierbar",""
"https://www.delst.de/de/fernstudium-hochschule/","2","Unser Bildungspartner - EHiP","28","Akademische Abschlüsse an der EHiP","34","Indexierbar",""
"https://www.delst.de/de/weiterbildung-personalentwicklung-management/","2","Führungskräfteentwicklung","25","Personalentwicklung","19","Indexierbar",""
"https://www.delst.de/de/datenschutzrichtlinien/","2","1. Datenschutz auf einen Blick","30","2. Allgemeine Hinweise und Pflichtinformationen","47","Indexierbar",""
"https://www.delst.de/de/marketing-vertrieb-fernstudium/","0","","0","","0","Indexierbar",""
"https://www.delst.de/de/handelsfachwirt/","2","Handelsfachwirt - Was ist das?","30","Welche Verdienstmöglichkeiten bieten sich mir als Fachwirt?","59","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/","2","IHK-Fachwirt Abschlüsse (Bachelor Professional)","47","IHK-Betriebswirt Abschlüsse (Master Professional)","49","Indexierbar",""
"https://www.delst.de/de/delst-leitsaetze/","2","Unsere Leitsätze am DeLSt","25","Zielsetzungen","13","Indexierbar",""
"https://www.delst.de/de/news/kennst-du-sven-arnusch/","0","","0","","0","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/wirtschaftsfachwirt-fernstudium/","2","Informationen zum Wirtschaftsfachwirt Fernstudium","49","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/weiterbildung-fuer-mitarbeiter-b2b/","2","Weiterbildungen für Mitarbeiter - Qualifizierungsmaßnahmen am DeLSt","67","Weiterbildungsmaßnahmen am DeLSt für Firmen","43","Indexierbar",""
"https://www.delst.de/de/ausbildung-der-ausbilder-ada/","2","Die Ausbildung zum Ausbilder mit Schein nach AdA beweist deine Eignung zum Ausbilden","84","Mit der richtigen Weiterbildung auf die Prüfung vorbereiten und schon bald als Ausbilder durchstarten","101","Indexierbar",""
"https://www.delst.de/de/coaching-ausbildung/","2","Coaching und Kommunikation Weiterbildung: erweitere deine Kompetenz","67","Als professioneller Coach in Unternehmen arbeiten","49","Indexierbar",""
"https://www.delst.de/de/wirtschaft-weiterbildung/","2","Mit einem Fernstudium im Wirtschaftsbereich berufliche Perspektiven erweitern","77","Grundlagenwissen Wirtschaft - der ideale Einstieg in deine Weiterbildung","72","Indexierbar",""
"https://www.delst.de/de/agb/","2","Präambel","8","§1 Voraussetzungen","18","Indexierbar",""
"https://www.delst.de/de/kontakt/","2","Firma","5","Persönliche Daten","17","Indexierbar",""
"https://www.delst.de/de/impressum/","2","Angaben gemäß § 5 TMG","21","Kontakt","7","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/gepruefter-betriebswirt-ihk-fernstudium/","2","Informationen zum Fernstudium Geprüfter Betriebswirt (IHK)","58","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/handelsfachwirt-fernstudium/","2","Informationen zum Fernstudium Handelsfachwirt","45","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/e-learning-weiterbildung/","2","Die revolutionäre Entwicklung des digitalen Lernens","51","Wissensvermittlung mit Medien erfordert spezielles Know-How","59","Indexierbar",""
"https://www.delst.de/de/stellenangebote/mitarbeiter-massnahmenzertifizierungen-azav/","2","Mitarbeiter Maßnahmenzertifizierungen nach AZAV (m/w/d)","55","Deine Aufgaben","14","Indexierbar",""
"https://www.delst.de/de/stellenangebote/beauftrager-fuer-azav-traeger-und-massnahmenzulassung/","2","Beauftragte*r für AZAV-Träger- und Maßnahmenzulassung (m/w/d)","61","Deine Aufgaben","14","Indexierbar",""
"https://www.delst.de/de/stellenangebote/prozessmanager/","2","Deine Aufgaben","14","Dein Profil","11","Indexierbar",""
"https://www.delst.de/de/stellenangebote/markenbotschafter-social-media/","2","Deine Aufgaben","14","Dein Profil","11","Indexierbar",""
"https://www.delst.de/de/stellenangebote/bildungsmanager-bildungsbereich-kaufmaennische-berufe-ihk-lehrgaenge/","2","Bildungsmanager (m/w/d) - Bildungsbereich Kaufmännische Berufe & IHK-Lehrgänge","78","Deine Aufgaben","14","Indexierbar",""
"https://www.delst.de/de/stellenangebote/studienberater-mit-schwerpunkt-vertrieb-b2c/","2","Studienberater mit Schwerpunkt Vertrieb B2C (m/w/d)","51","Deine Aufgaben","14","Indexierbar",""
"https://www.delst.de/de/stellenangebote/bildungsmanager-bildungsbereich-wirtschaft-management/","2","Bildungsmanager (m/w/d) - Bildungsbereich Wirtschaft & Management","65","Deine Aufgaben","14","Indexierbar",""
"https://www.delst.de/de/stellenangebote/initiativbewerbung/","2","Was wir bieten","14","Wir freuen uns auf deine Initiativbewerbung!","44","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/ausdauertrainer-ausbildung/","2","Informationen zur Ausbildung zum Ausdauer- und Lauftrainer","58","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/qualitaetsmanagement-gesundheitswesen-weiterbildung/","2","Informationen zur Weiterbildung Qualitätsmanagement im Gesundheitswesen","71","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/spa-ausbildung/","2","Informationen zum Fernstudium SPA-Management","44","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/fernstudium-ernahrungsberater/","2","Informationen zur Online-Ausbildung Ernährungsberater","53","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/fitnesstrainer-ausbildung/","2","Informationen zur Fitnesstrainer Ausbildung","43","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/betrieblicher-gesundheitsmanager-fernstudium/","2","Informationen zum Fernstudium Betriebliches Gesundheitsmanagement","65","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/studienkonzept/","2","Das Studienkonzept am DeLSt","27","Flexibles Lernen","16","Indexierbar",""
"https://www.delst.de/de/lernmethoden/","1","Betrete die Lernwelt von DeLSt und erweitere deinen Horizont","60","","0","Indexierbar",""
"https://www.delst.de/de/studienverlauf/","2","Der Ablauf deines Fernstudiums","30","1. Anmeldung","12","Indexierbar",""
"https://www.delst.de/de/qualitaetssicherung/","2","Ob berufliche oder persönliche Weiterbildung, das DeLSt steht für Seriosität und Qualität !","91","Staatliche Zulassung","20","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/wirtschaftsbezogene-qualifikationen-pruefungsvorbereitung/","2","Informationen zu den Wirtschaftsbezogenen Qualifikationen","57","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/selbstlernphase/","2","Erlebe interaktives Lernen zu deinen Bedingungen","48","Was ist die Selbstlernphase?","28","Indexierbar",""
"https://www.delst.de/de/lehrvideos/","1","Zurückspulen und Pausieren – effizientes Lernen durch Online-Vorlesungen!","73","","0","Indexierbar",""
"https://www.delst.de/de/webinare/","2","Was ist ein Webinar?","20","Die Vorteile der Präsenzphasen per Webinar","42","Indexierbar",""
"https://www.delst.de/de/bildungspartner/","2","Unsere Bildungspartner","22","Wir danken unseren starken Bildungspartnern für die gute Zusammenarbeit:","72","Indexierbar",""
"https://www.delst.de/de/web-based-training/","1","Web Based Training (WBT) – die modernste Form des E-Learning","60","","0","Indexierbar",""
"https://www.delst.de/de/delst-abschluesse/","2","Ausgezeichnetes Studienkonzept am DeLSt!","40","TOP Fernschule","14","Indexierbar",""
"https://www.delst.de/de/kindergeld/","1","Kindergeld","10","","0","Indexierbar",""
"https://www.delst.de/de/delst-foerderung/","1","DeLSt – Förderung","17","","0","Indexierbar",""
"https://www.delst.de/de/steuern-sparen/","1","Steuern sparen","14","","0","Indexierbar",""
"https://www.delst.de/de/studieninfos/foerdermoeglichkeiten/qualifizierungschancengesetz/","2","Unterstützung beim digitalen Wandel mit dem Qualifizierungschancengesetz","72","Vorbereitung auf digitale Prozesse durch die Qualifizierung von Fachkräften","75","Indexierbar",""
"https://www.delst.de/de/kurzarbeit/","2","Fördermöglichkeiten für eine Weiterbildung während der Kurzarbeit","65","Diese Fördermöglichkeiten kannst du während der Kurzarbeit nutzen:","66","Indexierbar",""
"https://www.delst.de/de/aufstiegs-bafoeg/","2","Förderung deiner Weiterbildung mit dem Aufstiegs-BAföG","54","Änderungen des Aufstiegs-BAföGs in 2020","39","Indexierbar",""
"https://www.delst.de/de/weitere-foerderprogramme/","1","Weitere Förderprogramme / Finanzierungsmöglichkeiten","52","","0","Indexierbar",""
"https://www.delst.de/de/bildungsgutschein/","2","Bildungsgutschein - die Förderung für deine Aus- und Weiterbildung","66","Was ist der Bildungsgutschein und wofür ist er einsetzbar?","58","Indexierbar",""
"https://www.delst.de/de/zuschuss-der-bundeslaender/","2","Bildungsscheck Brandenburg","26","Qualifizierungsscheck Hessen","28","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/futtermittelberater-ausbildung-richtige-pferdefuetterung/","2","Informationen zum Lehrgang in Pferdeernährung","45","Ziele und Perspektiven","22","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/reitlehrerin-ausbildung/","2","Informationen zur Reiten B-Lizenz","33","Ziele und Perspektiven","22","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/reiten-c-lizenz/","2","Informationen zum Lehrgang C-Lizenz Reiten","42","Ziele und Perspektiven","22","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/master-professional-betriebswirt/","2","Informationen zum Fernstudium Master Professional in Business Management","72","Berufliche Perspektiven","23","Indexierbar",""
"https://www.delst.de/de/studieninfos/foerdermoeglichkeiten/bildungsgutschein-azav/azav-fernstudiengaenge/gepruefter-betriebswirt-azav-bildungsgutschein/","2","Informationen zur Weiterbildung zum*r Geprüften Betriebswirt*in","63","Berufliche Perspektiven","23","Nicht indexierbar","Canonicalised"
"https://www.delst.de/de/bundeswehr-weiterbildung/","2","BFD: die Förderung für deine Weiterbildung und die zivile Karriere","66","Antrag auf Förderung des BFD - darauf ist zu achten","51","Indexierbar",""
