"Adresse","Inhaltstyp","Größe (Bytes)","IMG-Inlinks","Indexierbarkeit","Indexierbarkeitsstatus","Abmessungen"
"https://www.delst.de/files/theme/cc/certification/BiBB-Logo.svg","image/svg+xml","0","56","Indexierbar","",""
"https://www.delst.de/assets/images/1/support-teilnehmerbetreuung-academyofsports-9e3caf99.svg","image/svg+xml","0","39","Indexierbar","",""
"https://www.delst.de/files/team/dozenten/markus-edenharder-web.jpg","image/jpeg","16247","288","Indexierbar","",""
"https://www.delst.de/assets/images/f/berufsfoerderungsdienst-bfd-academy-of-sports-d550c9ed.webp","image/webp","4192","20","Indexierbar","",""
"https://www.delst.de/files/team/Kein-Bild-vorhanden.jpg","image/jpeg","3633","143","Indexierbar","",""
"https://www.delst.de/files/theme/cc/certification/ZFU-zugelassen-Logo.svg","image/svg+xml","0","60","Indexierbar","",""
"https://www.delst.de/files/icons/delst-moderne-lehrmaterialien-ebook-150.png","image/png","1468","94","Indexierbar","",""
"https://www.delst.de/files/theme/cc/certification/AZAV-DeLSt.svg","image/svg+xml","0","80","Indexierbar","",""
"https://www.delst.de/assets/images/8/fernstudium-ortsunabhaengig-lernen-delst-ee6d07a6.svg","image/svg+xml","0","93","Indexierbar","",""
"https://www.delst.de/files/team/dozenten/ralf-schemmert-web.jpg","image/jpeg","10757","217","Indexierbar","",""
"https://www.delst.de/files/contents/logos/zertifizierungen/zfu-siegel-zugelassen-grau.svg","image/svg+xml","0","17","Indexierbar","",""
"https://www.delst.de/assets/images/2/fernstudium-berufsbegleitend-vollzeit-teilzeit-delst-6c4a5816.svg","image/svg+xml","0","63","Indexierbar","",""
"https://www.delst.de/files/contents/logos/Foerderungen/beispielrechnung-aufsteigsbafoeg-delst.webp","image/webp","36216","8","Indexierbar","",""
"https://www.delst.de/assets/images/0/naeffgen-ela-team-2ae26e7e.webp","image/webp","4138","37","Indexierbar","",""
"https://www.delst.de/assets/images/b/aufstiegs-bafoeg-foerderung-f07b97b5.webp","image/webp","4898","8","Indexierbar","",""
"https://www.delst.de/files/team/dozenten/studienbetreuung-delst-jpg.jpg","image/jpeg","22564","18","Indexierbar","",""
"https://www.delst.de/assets/images/1/fernstudium-foerdermoeglichkeiten-delst-6a06e565.svg","image/svg+xml","0","67","Indexierbar","",""
"https://www.delst.de/files/icons/delst-online-ortsungbunden-absolvierbar-150.png","image/png","2462","94","Indexierbar","",""
"https://www.delst.de/files/team/tutoren/jennifer-koelsch-delst.jpg","image/jpeg","21248","66","Indexierbar","",""
"https://www.delst.de/files/zertifizierungen/fsd-siegel-2024.png","image/png","5242","20","Indexierbar","",""
"https://www.delst.de/files/theme/cc/certification/Dekra-Logo-gruen.svg","image/svg+xml","0","21","Indexierbar","",""
"https://www.delst.de/files/theme/cc/certification/fernstudiumdirekt.png","image/png","14582","89","Indexierbar","",""
"https://www.delst.de/files/icons/AZAV/perspektiven.png","image/png","4395","1","Indexierbar","",""
"https://www.delst.de/assets/images/9/schritte-03-v2-ea390348.png","image/png","5102","1","Indexierbar","",""
"https://www.delst.de/files/icons/AZAV/foerderung.png","image/png","3739","1","Indexierbar","",""
"https://www.delst.de/files/icons/AZAV/persoenlich.png","image/png","5359","1","Indexierbar","",""
"https://www.delst.de/assets/images/a/schritte-05-v2-c09cac5a.png","image/png","5669","1","Indexierbar","",""
"https://www.delst.de/assets/images/2/schritte-02-v2-66da8197.png","image/png","5639","1","Indexierbar","",""
"https://www.delst.de/assets/images/6/schritte-01-v2-083c351d.png","image/png","5643","1","Indexierbar","",""
"https://www.delst.de/assets/images/4/bildungsmassmanhmen-mit-bildungsgutschein-delst-8c7b1e73.webp","image/webp","7062","1","Indexierbar","",""
"https://www.delst.de/assets/images/b/schritte-04-v2-969ad7b2.png","image/png","4635","1","Indexierbar","",""
"https://www.delst.de/files/icons/Lineal%20Style/web-based-training-wbt-academyofsports.svg","image/svg+xml","0","1","Indexierbar","",""
"https://www.delst.de/files/icons/Lineal%20Style/fernstudium-abschluss-delst.svg","image/svg+xml","0","1","Indexierbar","",""
"https://www.delst.de/files/icons/Lineal%20Style/fernstudium-ortsunabhaengig-lernen-delst.svg","image/svg+xml","0","1","Indexierbar","",""
"https://www.delst.de/assets/images/2/fsd-siegel-2024-cc207987.png","image/png","10557","1","Indexierbar","",""
"https://www.delst.de/files/contents/Landing-Pages/think-outside-the-box-aktionsseite.webp","image/webp","67908","1","Indexierbar","",""
"https://www.delst.de/assets/images/0/delst-top-anbieter-fortbildung24-breit-2e1ce745.jpg","image/jpeg","2841","1","Indexierbar","",""
"https://www.delst.de/assets/images/1/icon-zitat-434d105e.svg","image/svg+xml","0","4","Indexierbar","",""
"https://www.delst.de/files/icons/Lineal%20Style/flexibel.svg","image/svg+xml","0","1","Indexierbar","",""
"https://www.delst.de/assets/images/f/top-fernschule-2023-delst-d3863d04.webp","image/webp","1896","1","Indexierbar","",""
"https://www.delst.de/assets/images/7/think-outside-the-box-aktionsseite-zusatz-eebb3b77.webp","image/webp","14568","1","Indexierbar","",""
"https://www.delst.de/files/keyvisual/bildungsbereiche/Rechnungswesen/weiterbildung-rechnungswesen-online-delst.webp","image/webp","15460","1","Indexierbar","",""
"https://www.delst.de/assets/images/2/carola-roessler-ac4b3c30.webp","image/webp","5200","1","Indexierbar","",""
"https://www.delst.de/files/teaser/service/affiliate-werden-delst-partnerprogramm.jpg","image/jpeg","28561","1","Indexierbar","",""
"https://www.delst.de/assets/images/a/e-sports-manager-ihk-0b76c57d.webp","image/webp","35670","1","Indexierbar","",""
"https://www.delst.de/files/team/verwaltung/delst-gruppenbild-2022-komplett.webp","image/webp","159504","91","Indexierbar","",""
"https://www.delst.de/files/contents/Landing-Pages/pruefungsinhalte-ihk-delst.webp","image/webp","3826","1","Indexierbar","",""
"https://www.delst.de/files/contents/news/dqr-stufenmodell-2016-betriebswirt-ihk-delst.jpg","image/jpeg","59853","1","Indexierbar","",""
