"Adresse","Inhaltstyp","Status-Code","Status","HTTP-Version","Indexierbarkeit","Indexierbarkeitsstatus","Canonical-Linkelement 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.delst.de/files/theme/js/delst_jentis.js","application/javascript","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/assets/images/c/fsd-siegel-2024-f2de0e60.png","image/png","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/master-professional/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/master-professional/","index,follow",""
"https://www.delst.de/de/newsbeitraege/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/newsbeitraege/","index,follow",""
"https://www.delst.de/de/lexikon/","text/html; charset=utf-8","200","OK","1.1","Nicht indexierbar","Canonicalised","https://www.delst.de/de/lexikon/a-b-test/","index,follow",""
"https://www.delst.de/de/magazinbeitraege/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/magazinbeitraege/","index,follow",""
"https://www.delst.de/de/deutsches-elearning-studieninstitut/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/deutsches-elearning-studieninstitut/","index,follow",""
"https://www.delst.de/de/faq/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/faq/","index,follow",""
"https://www.delst.de/files/theme/assets/jquery.browser.min.js?v=ab3a30ff","application/javascript","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/wirtschaftsfachwirt/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/wirtschaftsfachwirt/","index,follow",""
"https://www.delst.de/files/theme/css/farben.min.css?v=98fc4a00","text/css","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/files/shariff-3.2.1/shariffcomplete.min.css?v=7978e33f","text/css","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/digitalisierung-unternehmen-digitale-arbeitswelt/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/digitalisierung-unternehmen-digitale-arbeitswelt/","",""
"https://www.delst.de/de/bildungscoach/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/bildungscoach/","index,follow",""
"https://www.delst.de/files/theme/cc/certification/dekra.png","image/png","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/files/theme/cc/certification/delst-top-anbieter-fortbildung24-breit.jpg","image/jpeg","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/online-campus/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/online-campus/","index,follow",""
"https://www.delst.de/files/theme/css/fonts.css","text/css","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/files/theme/css/styles.min.css?v=99d14736","text/css","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/fernstudium-hochschule/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/fernstudium-hochschule/","",""
"https://www.delst.de/de/weiterbildung-personalentwicklung-management/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/weiterbildung-personalentwicklung-management/","",""
"https://www.delst.de/files/theme/js/delst-custom.min.js?v=6a3167c9","application/javascript","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/files/zertifizierungen/kursfinder-top-anbieter-2023.svg","image/svg+xml","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/files/theme/img/delst_qr_code_logo.png","image/png","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/assets/swipe/js/swipe.min.js","application/javascript","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/files/icons/WhatsApp_Logo_1.png","image/png","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/files/theme/css/ls_framework.min.css?v=5dec99fe","text/css","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/assets/swipe/css/swipe.min.css?v=aeba4828","text/css","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/datenschutzrichtlinien/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/datenschutzrichtlinien/","index,follow",""
"https://www.delst.de/de/marketing-vertrieb-fernstudium/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/marketing-vertrieb-fernstudium/","",""
"https://www.delst.de/de/handelsfachwirt/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/handelsfachwirt/","index,follow",""
"https://www.delst.de/de/ihk-weiterbildung/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/ihk-weiterbildung/","",""
"https://www.delst.de/assets/jquery/js/jquery.min.js?v=aeba4828","application/javascript","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/delst-leitsaetze/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/delst-leitsaetze/","index,follow",""
"https://www.delst.de/files/contents/logos/partner/logo-ehip-cmyk-ou.webp","image/webp","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/news/kennst-du-sven-arnusch/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/news/kennst-du-sven-arnusch/","index,follow",""
"https://www.delst.de/files/theme/js/readmore.js?v=ab3a30ff","application/javascript","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/files/theme/css/bootstrap.min.css?v=209f3f2d","text/css","200","OK","1.1","Indexierbar","","","",""
"https://www.delst.de/de/ihk-weiterbildung/wirtschaftsfachwirt-fernstudium/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/ihk-weiterbildung/wirtschaftsfachwirt-fernstudium/","index,follow",""
"https://www.delst.de/de/weiterbildung-fuer-mitarbeiter-b2b/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/weiterbildung-fuer-mitarbeiter-b2b/","index,follow",""
"https://www.delst.de/de/ausbildung-der-ausbilder-ada/","text/html; charset=utf-8","200","OK","1.1","Indexierbar","","https://www.delst.de/de/ausbildung-der-ausbilder-ada/","index,follow",""
"https://www.delst.de/files/zertifizierungen/top-fernschule-2023-delst.png","image/png","200","OK","1.1","Indexierbar","","","",""
