"Adresse","Inhaltstyp","Status-Code","Status","Indexierbarkeit","Indexierbarkeitsstatus","Hash","Länge","Canonical-Linkelement 1","Kodierte Adresse der URL"
"https://www.delst.de/de/","text/html; charset=utf-8","200","OK","Indexierbar","","125eebdfa00d1ab38abed16706ad9b12","24","https://www.delst.de/de/","https://www.delst.de/de/"
"https://www.delst.de/assets/jquery-ui/js/jquery-ui.min.js?v=1.13.2","application/javascript","200","OK","Indexierbar","","","66","","https://www.delst.de/assets/jquery-ui/js/jquery-ui.min.js?v=1.13.2"
"https://www.delst.de/files/theme/cc/certification/pxa_bf_pos_small.png","image/png","200","OK","Indexierbar","","","70","","https://www.delst.de/files/theme/cc/certification/pxa_bf_pos_small.png"
"https://www.delst.de/files/theme/js/menu.js?v=ab3a30ff","application/javascript","200","OK","Indexierbar","","","54","","https://www.delst.de/files/theme/js/menu.js?v=ab3a30ff"
"https://www.delst.de/files/shariff-3.2.1/shariff.min.js","application/javascript","200","OK","Indexierbar","","","55","","https://www.delst.de/files/shariff-3.2.1/shariff.min.js"
"https://www.delst.de/de/stellenangebote/","text/html; charset=utf-8","200","OK","Indexierbar","","c296d0296e7df3f7861136effb1c0c67","40","https://www.delst.de/de/stellenangebote/","https://www.delst.de/de/stellenangebote/"
"https://www.delst.de/files/theme/js/custom.js?v=ab3a30ff","application/javascript","200","OK","Indexierbar","","","56","","https://www.delst.de/files/theme/js/custom.js?v=ab3a30ff"
"https://www.delst.de/files/theme/js/debug.js?v=ab3a30ff","application/javascript","200","OK","Indexierbar","","","55","","https://www.delst.de/files/theme/js/debug.js?v=ab3a30ff"
"https://www.delst.de/files/theme/js/viewport.js?v=ab3a30ff","application/javascript","200","OK","Indexierbar","","","58","","https://www.delst.de/files/theme/js/viewport.js?v=ab3a30ff"
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/","text/html; charset=utf-8","200","OK","Indexierbar","","42a97f1443e215531b532dbf2c9abf96","58","https://www.delst.de/de/fernstudium-gesundheitsmanagement/","https://www.delst.de/de/fernstudium-gesundheitsmanagement/"
"https://www.delst.de/files/theme/cc/certification/logo-academyofsports-400.webp","image/webp","200","OK","Indexierbar","","","79","","https://www.delst.de/files/theme/cc/certification/logo-academyofsports-400.webp"
"https://www.delst.de/de/news/neu-pruefungstraining-wirtschaftsbezogene-qualifikationen-ihk/","text/html; charset=utf-8","200","OK","Indexierbar","","41627691e151fd4b6afac6fa26f92021","91","","https://www.delst.de/de/news/neu-pruefungstraining-wirtschaftsbezogene-qualifikationen-ihk/"
"https://www.delst.de/de/studieninfos/","text/html; charset=utf-8","200","OK","Indexierbar","","e93937947474f66281926967822ee225","37","https://www.delst.de/de/studieninfos/","https://www.delst.de/de/studieninfos/"
"https://www.delst.de/assets/images/2/top-fernschule-2023-delst-0f956adb.webp","image/webp","200","OK","Indexierbar","","","76","","https://www.delst.de/assets/images/2/top-fernschule-2023-delst-0f956adb.webp"
"https://www.delst.de/de/kalender-bildungsberatung/","text/html; charset=utf-8","200","OK","Indexierbar","","8b6c1cc850943da48a48c644ea4d40be","50","https://www.delst.de/de/kalender-bildungsberatung/","https://www.delst.de/de/kalender-bildungsberatung/"
