"Adresse","Indexierbarkeit","Indexierbarkeitsstatus","Crawltiefe","Link Score","Inlinks","Einzigartige Inlinks","Einzigartige JS-Inlinks","% von Gesamt","Outlinks","Einzigartige Outlinks","Einzigartige JS-Outlinks","Externe Outlinks","Einzigartige externe Outlinks","Einzigartige externe JS-Outlinks"
"https://www.delst.de/de/news/scrum-lehrgaenge-buchbar/","Indexierbar","","2","","1","1","0","0,320","66","37","0","12","12","0"
"https://www.delst.de/de/news/kennen-sie-ralf-schemmert/","Indexierbar","","2","","1","1","0","0,320","55","34","0","10","10","0"
"https://www.delst.de/de/news/kennst-du-tom-telschow/","Indexierbar","","2","","1","1","0","0,320","55","35","0","10","10","0"
"https://www.delst.de/de/news/bueroassistenz-jetzt-buchbar/","Indexierbar","","2","","1","1","0","0,320","55","35","0","11","11","0"
"https://www.delst.de/de/news/kennst-du-ela-naeffgen/","Indexierbar","","2","","1","1","0","0,320","55","35","0","10","10","0"
"https://www.delst.de/de/news/englische-ihk-abschluesse/","Indexierbar","","2","","2","2","0","0,630","67","43","0","10","10","0"
"https://www.delst.de/de/news/elearning-digitales-lernen-die-moderne-und-flexible-form-der-weiterbildung/","Indexierbar","","2","","1","1","0","0,320","59","35","0","11","11","0"
"https://www.delst.de/de/news/kennst-du-thomas-wiessner/","Indexierbar","","2","","1","1","0","0,320","58","38","0","10","10","0"
"https://www.delst.de/de/news/delst-besuchen-auf-der-messe-jobkarrieretage2022/","Indexierbar","","2","","1","1","0","0,320","54","34","0","11","11","0"
"https://www.delst.de/de/news/betrieblicher-gesundheitsmanager-jetzt-buchbar/","Indexierbar","","2","","1","1","0","0,320","55","35","0","10","10","0"
"https://www.delst.de/de/news/top-institut-2021-fernstudiumcheck/","Indexierbar","","2","","1","1","0","0,320","54","34","0","11","11","0"
"https://www.delst.de/de/news/kennst-du-benjamin-lindner/","Indexierbar","","2","","1","1","0","0,320","55","35","0","10","10","0"
"https://www.delst.de/de/news/wbt-modernes-lernen/","Indexierbar","","2","","1","1","0","0,320","58","38","0","11","11","0"
"https://www.delst.de/de/news/kennst-du-alexander-neumann/","Indexierbar","","2","","1","1","0","0,320","57","36","0","10","10","0"
"https://www.delst.de/de/news/kennst-du-ebru-nal/","Indexierbar","","2","","1","1","0","0,320","56","35","0","10","10","0"
"https://www.delst.de/de/news/wir-wuenschen-ihnen-ein-glueckliches-gesundes-und-erfolgreiches-neue-jahr/","Indexierbar","","2","","1","1","0","0,320","54","34","0","10","10","0"
"https://www.delst.de/de/news/kennst-du-marion-freddy-kraemer/","Indexierbar","","2","","1","1","0","0,320","56","36","0","10","10","0"
"https://www.delst.de/de/news/neuer-fernkurs-ernaehrung-im-natural-bodybuilding/","Indexierbar","","2","","1","1","0","0,320","55","34","0","10","10","0"
"https://www.delst.de/de/news/gepruefter-technischer-betriebswirt-jetzt-buchbar/","Indexierbar","","2","","1","1","0","0,320","55","35","0","11","11","0"
