"Adresse","Inhaltstyp","Status-Code","Status","Indexierbarkeit","Indexierbarkeitsstatus","Hash","Länge","Canonical-Linkelement 1","Kodierte Adresse der URL"
"https://www.ehip.eu/assets/images/2/bachelor-ernaehrungsberatung-management-ehip-hauptbild-d7356706.webp","image/webp","200","OK","Indexierbar","","","104","","https://www.ehip.eu/assets/images/2/bachelor-ernaehrungsberatung-management-ehip-hauptbild-d7356706.webp"
"https://www.ehip.eu/assets/images/2/startseite-ehip-vorteile-dekoration-3-f37d3e11.webp","image/webp","200","OK","Indexierbar","","","87","","https://www.ehip.eu/assets/images/2/startseite-ehip-vorteile-dekoration-3-f37d3e11.webp"
"https://www.ehip.eu/vertrag-kuendigen/","text/html; charset=UTF-8","200","OK","Nicht indexierbar","noindex","e0f0c08b1e3c19014cd6607a128e431f","38","https://www.ehip.eu/vertrag-kuendigen/","https://www.ehip.eu/vertrag-kuendigen/"
"https://www.ehip.eu/assets/images/3/startseite-ehip-zielgruppe-berufstätige-8b7ab37b.webp","image/webp","200","OK","Indexierbar","","","89","","https://www.ehip.eu/assets/images/3/startseite-ehip-zielgruppe-berufst%C3%A4tige-8b7ab37b.webp"
"https://www.ehip.eu/assets/images/3/fernstudium-direkt-siegel-59df69ea.png","image/png","200","OK","Indexierbar","","","74","","https://www.ehip.eu/assets/images/3/fernstudium-direkt-siegel-59df69ea.png"
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft/","text/html; charset=UTF-8","200","OK","Indexierbar","","f333bcd9be59a75864caee4905ef0b09","95","https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft/","https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft/"
"https://www.ehip.eu/ueber-uns/fernstudium-erfahrungen/","text/html; charset=UTF-8","200","OK","Indexierbar","","6de17086ea16c8bfc8d5d4516c352fce","54","https://www.ehip.eu/ueber-uns/fernstudium-erfahrungen/","https://www.ehip.eu/ueber-uns/fernstudium-erfahrungen/"
"https://www.ehip.eu/assets/images/b/startseite-ehip-vorteile-dekoration-1-7e3adc35.webp","image/webp","200","OK","Indexierbar","","","87","","https://www.ehip.eu/assets/images/b/startseite-ehip-vorteile-dekoration-1-7e3adc35.webp"
"https://www.ehip.eu/study-guide/studieren-aus-dem-ausland/","text/html; charset=UTF-8","200","OK","Indexierbar","","aab34e924768252946f6a7c07f61ffab","58","https://www.ehip.eu/study-guide/studieren-aus-dem-ausland/","https://www.ehip.eu/study-guide/studieren-aus-dem-ausland/"
"https://www.ehip.eu/study-guide/deine-studienberatung/","text/html; charset=UTF-8","200","OK","Indexierbar","","bea5109b41832217c585ac764c447931","54","https://www.ehip.eu/study-guide/deine-studienberatung/","https://www.ehip.eu/study-guide/deine-studienberatung/"
"https://www.ehip.eu/kontaktformular/","text/html; charset=UTF-8","200","OK","Nicht indexierbar","noindex","a55364702ea4536551fff784ae10f130","36","https://www.ehip.eu/kontaktformular/","https://www.ehip.eu/kontaktformular/"
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft","text/html","301","Moved Permanently","Nicht indexierbar","Umgeleitet","","94","","https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft"
"https://www.ehip.eu/assets/images/2/bachelor-fitnesstraining-ehip-hauptbild-84218a90.webp","image/webp","200","OK","Indexierbar","","","89","","https://www.ehip.eu/assets/images/2/bachelor-fitnesstraining-ehip-hauptbild-84218a90.webp"
"https://www.ehip.eu/study-guide/deine-bruecke-zu-uns/","text/html; charset=UTF-8","200","OK","Indexierbar","","ffdca93931afe7ff1c9b061435d39ef4","53","https://www.ehip.eu/study-guide/deine-bruecke-zu-uns/","https://www.ehip.eu/study-guide/deine-bruecke-zu-uns/"
"https://www.ehip.eu/fernstudium/bachelor/digital-marketing-studium/","text/html; charset=UTF-8","200","OK","Indexierbar","","14917aa2256e0bfe684ce03cdb38cb4e","67","https://www.ehip.eu/fernstudium/bachelor/digital-marketing-studium/","https://www.ehip.eu/fernstudium/bachelor/digital-marketing-studium/"
"https://www.ehip.eu/assets/images/5/top-fernhochschule-fernstudiumcheck-871f5aa2.png","image/png","200","OK","Indexierbar","","","84","","https://www.ehip.eu/assets/images/5/top-fernhochschule-fernstudiumcheck-871f5aa2.png"
"https://www.ehip.eu/study-guide/studium-und-job/","text/html; charset=UTF-8","200","OK","Indexierbar","","bdaf887e26da7163119db2c5472e8d58","48","https://www.ehip.eu/study-guide/studium-und-job/","https://www.ehip.eu/study-guide/studium-und-job/"
"https://www.ehip.eu/bachelor-studiengaenge/","text/html; charset=UTF-8","200","OK","Indexierbar","","d1ae02713cfd4f1bf1909a6111c34ddb","43","https://www.ehip.eu/bachelor-studiengaenge/","https://www.ehip.eu/bachelor-studiengaenge/"
"https://www.ehip.eu/fernstudium/bachelor/e-learning-studium/","text/html; charset=UTF-8","200","OK","Indexierbar","","93d9bcadab1d5c645ef518ae847a12ef","60","https://www.ehip.eu/fernstudium/bachelor/e-learning-studium/","https://www.ehip.eu/fernstudium/bachelor/e-learning-studium/"
"https://www.ehip.eu/kalender-studienberatung/","text/html; charset=UTF-8","200","OK","Nicht indexierbar","noindex","9a2781e94342c987143db4a8443c7b17","45","","https://www.ehip.eu/kalender-studienberatung/"
"https://www.ehip.eu/assets/images/7/logo-staatliche-anerkennung_ehip-4f020123.svg","image/svg+xml","200","OK","Indexierbar","","","81","","https://www.ehip.eu/assets/images/7/logo-staatliche-anerkennung_ehip-4f020123.svg"
"https://www.ehip.eu/assets/js/vanilla-js-carousel.js,script.js,moment-with-locales.js,datepick...-81244751.js","application/javascript","200","OK","Indexierbar","","","109","","https://www.ehip.eu/assets/js/vanilla-js-carousel.js,script.js,moment-with-locales.js,datepick...-81244751.js"
"https://www.ehip.eu/study-guide/voraussetzungen/","text/html; charset=UTF-8","200","OK","Indexierbar","","1baf4196b7c8fef42c919751c6b4b098","48","https://www.ehip.eu/study-guide/voraussetzungen/","https://www.ehip.eu/study-guide/voraussetzungen/"
"https://www.ehip.eu/fernstudium/bachelor/bwl-fernstudium/","text/html; charset=UTF-8","200","OK","Indexierbar","","b2864e421f34b48fd5b55dc890ca6715","57","https://www.ehip.eu/fernstudium/bachelor/bwl-fernstudium/","https://www.ehip.eu/fernstudium/bachelor/bwl-fernstudium/"
"https://www.ehip.eu/files/_assets/img/logo/logo-ehip-mobile.png","image/png","200","OK","Indexierbar","","","63","","https://www.ehip.eu/files/_assets/img/logo/logo-ehip-mobile.png"
"https://www.ehip.eu/study-guide/pruefungsformen/","text/html; charset=UTF-8","200","OK","Indexierbar","","96fe4db141ceca7acee2432d942fc714","48","https://www.ehip.eu/study-guide/pruefungsformen/","https://www.ehip.eu/study-guide/pruefungsformen/"
"https://www.ehip.eu/assets/images/6/vph-logo-5159c680.png","image/png","200","OK","Indexierbar","","","57","","https://www.ehip.eu/assets/images/6/vph-logo-5159c680.png"
"https://www.ehip.eu/study-guide/warum-ehip/","text/html; charset=UTF-8","200","OK","Indexierbar","","a7cb8464c7e4152642c9144da3128ccf","43","https://www.ehip.eu/study-guide/warum-ehip/","https://www.ehip.eu/study-guide/warum-ehip/"
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-ernaehrungsberatung-ernaehrungsmanagement/","text/html; charset=UTF-8","200","OK","Indexierbar","","2fe2b953f88aec08f634d34991a392b3","95","https://www.ehip.eu/fernstudium/bachelor/fernstudium-ernaehrungsberatung-ernaehrungsmanagement/","https://www.ehip.eu/fernstudium/bachelor/fernstudium-ernaehrungsberatung-ernaehrungsmanagement/"
"https://www.ehip.eu/study-guide/studium-alleinerziehend/","text/html; charset=UTF-8","200","OK","Indexierbar","","c2f8b1715dfa017591d430540cb0e860","56","https://www.ehip.eu/study-guide/studium-alleinerziehend/","https://www.ehip.eu/study-guide/studium-alleinerziehend/"
"https://www.ehip.eu/coming-soon-duale-studiengaenge/","text/html; charset=UTF-8","200","OK","Indexierbar","","b2dbc9969975ee0c5386164558f38587","52","","https://www.ehip.eu/coming-soon-duale-studiengaenge/"
"https://www.ehip.eu/files/_assets/img/logo/footer-xing.png","image/png","200","OK","Indexierbar","","","58","","https://www.ehip.eu/files/_assets/img/logo/footer-xing.png"
"https://www.ehip.eu/study-guide/wegweiser/","text/html; charset=UTF-8","200","OK","Indexierbar","","7887b60a026232b13ae750d2d3f0a6b4","42","https://www.ehip.eu/study-guide/wegweiser/","https://www.ehip.eu/study-guide/wegweiser/"
"https://www.ehip.eu/files/_assets/img/logo/footer-facebook.png","image/png","200","OK","Indexierbar","","","62","","https://www.ehip.eu/files/_assets/img/logo/footer-facebook.png"
"https://www.ehip.eu/assets/images/3/bachelor-betriebswirtschaftlehre-ehip-hauptbild-9e7c0530.webp","image/webp","200","OK","Indexierbar","","","97","","https://www.ehip.eu/assets/images/3/bachelor-betriebswirtschaftlehre-ehip-hauptbild-9e7c0530.webp"
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-ernaehrungsberatung-ernaehrungsmanagement","text/html","301","Moved Permanently","Nicht indexierbar","Umgeleitet","","94","","https://www.ehip.eu/fernstudium/bachelor/fernstudium-ernaehrungsberatung-ernaehrungsmanagement"
"https://www.ehip.eu/assets/images/e/bachelor-ernährungswissenschaft-fernstudium-ehip-hauptbild-7f059161.webp","image/webp","200","OK","Indexierbar","","","108","","https://www.ehip.eu/assets/images/e/bachelor-ern%C3%A4hrungswissenschaft-fernstudium-ehip-hauptbild-7f059161.webp"
"https://www.ehip.eu/fernstudium/bachelor/international-management-studium/","text/html; charset=UTF-8","200","OK","Indexierbar","","492f5ed3625e9e716fe12a74fa7f4a2d","74","https://www.ehip.eu/fernstudium/bachelor/international-management-studium/","https://www.ehip.eu/fernstudium/bachelor/international-management-studium/"
"https://www.ehip.eu/infoveranstaltung/","text/html; charset=UTF-8","200","OK","Nicht indexierbar","noindex","6a627ec69d6db3b2c50123cb530917d8","38","","https://www.ehip.eu/infoveranstaltung/"
"https://www.ehip.eu/study-guide/studieren-mit-familie/","text/html; charset=UTF-8","200","OK","Indexierbar","","12328a15c45879db2ac5cd50a8ba93d1","54","https://www.ehip.eu/study-guide/studieren-mit-familie/","https://www.ehip.eu/study-guide/studieren-mit-familie/"
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-personalmanagement/","text/html; charset=UTF-8","200","OK","Indexierbar","","5c9270493059ef3a470aa0039f3eceac","72","https://www.ehip.eu/fernstudium/bachelor/fernstudium-personalmanagement/","https://www.ehip.eu/fernstudium/bachelor/fernstudium-personalmanagement/"
"https://www.ehip.eu/assets/images/8/startseite-ehip-zielgruppe-quereinsteiger-8a76e526.webp","image/webp","200","OK","Indexierbar","","","91","","https://www.ehip.eu/assets/images/8/startseite-ehip-zielgruppe-quereinsteiger-8a76e526.webp"
"https://www.ehip.eu/assets/images/7/bachelor-international-management-studium-ehip-05ae5046.webp","image/webp","200","OK","Indexierbar","","","96","","https://www.ehip.eu/assets/images/7/bachelor-international-management-studium-ehip-05ae5046.webp"
"https://www.ehip.eu/study-guide/dein-anmeldeprozess/","text/html; charset=UTF-8","200","OK","Indexierbar","","c324a98020c2d74076113e75f0dd2f58","52","https://www.ehip.eu/study-guide/dein-anmeldeprozess/","https://www.ehip.eu/study-guide/dein-anmeldeprozess/"
"https://www.ehip.eu/assets/images/c/bachelor-sport-ernaehrungswissenschaft-ehip-hauptbild-a10bd534.webp","image/webp","200","OK","Indexierbar","","","103","","https://www.ehip.eu/assets/images/c/bachelor-sport-ernaehrungswissenschaft-ehip-hauptbild-a10bd534.webp"
"https://www.ehip.eu/assets/images/a/bachelor-e-learning-management-fernstudium-ehip-hauptbild-41d0d434.webp","image/webp","200","OK","Indexierbar","","","107","","https://www.ehip.eu/assets/images/a/bachelor-e-learning-management-fernstudium-ehip-hauptbild-41d0d434.webp"
"https://www.ehip.eu/assets/images/f/deine-finanzierungsmoeglichkeiten-landingpage-ehip-step1-674ce29a.webp","image/webp","200","OK","Indexierbar","","","106","","https://www.ehip.eu/assets/images/f/deine-finanzierungsmoeglichkeiten-landingpage-ehip-step1-674ce29a.webp"
"https://www.ehip.eu/study-guide/deine-finanzierungsmoeglichkeiten/","text/html; charset=UTF-8","200","OK","Indexierbar","","3beb41ae3e0b2fbb2837da6d2b057c7c","66","https://www.ehip.eu/study-guide/deine-finanzierungsmoeglichkeiten/","https://www.ehip.eu/study-guide/deine-finanzierungsmoeglichkeiten/"
"https://www.ehip.eu/fernstudium/bachelor/fitnesswissenschaft-fernstudium","text/html","301","Moved Permanently","Nicht indexierbar","Umgeleitet","","72","","https://www.ehip.eu/fernstudium/bachelor/fitnesswissenschaft-fernstudium"
"https://www.ehip.eu/impressum/","text/html; charset=UTF-8","200","OK","Indexierbar","","e873f241b17409a5f62ca67851e0617c","30","https://www.ehip.eu/impressum/","https://www.ehip.eu/impressum/"
"https://www.ehip.eu/assets/images/4/startseite-ehip-zielgruppe-abiturienten-81c3dafb.webp","image/webp","200","OK","Indexierbar","","","89","","https://www.ehip.eu/assets/images/4/startseite-ehip-zielgruppe-abiturienten-81c3dafb.webp"
"https://www.ehip.eu/files/_assets/img/logo/footer-linkedin.png","image/png","200","OK","Indexierbar","","","62","","https://www.ehip.eu/files/_assets/img/logo/footer-linkedin.png"
"https://www.ehip.eu/assets/images/3/bachelor-sportmanagement-fernstudium-ehip-hauptbild-b48f42dd.webp","image/webp","200","OK","Indexierbar","","","101","","https://www.ehip.eu/assets/images/3/bachelor-sportmanagement-fernstudium-ehip-hauptbild-b48f42dd.webp"
"https://www.ehip.eu/assets/images/4/logo-zfu-zugelassen-40cddf95.svg","image/svg+xml","200","OK","Indexierbar","","","68","","https://www.ehip.eu/assets/images/4/logo-zfu-zugelassen-40cddf95.svg"
"https://www.ehip.eu/assets/images/f/bachelor-digital-marketing-fernstudium-ehip-0d9d3f59.webp","image/webp","200","OK","Indexierbar","","","93","","https://www.ehip.eu/assets/images/f/bachelor-digital-marketing-fernstudium-ehip-0d9d3f59.webp"
"https://www.ehip.eu/assets/images/d/startseite-ehip-vorteile-ersatzbild-bf25a0cd.webp","image/webp","200","OK","Indexierbar","","","85","","https://www.ehip.eu/assets/images/d/startseite-ehip-vorteile-ersatzbild-bf25a0cd.webp"
"https://www.ehip.eu/files/_assets/img/logo/footer-instagram.png","image/png","200","OK","Indexierbar","","","63","","https://www.ehip.eu/files/_assets/img/logo/footer-instagram.png"
"https://www.ehip.eu/assets/images/7/startseite-ehip-chancen-3cfbd830.webp","image/webp","200","OK","Indexierbar","","","73","","https://www.ehip.eu/assets/images/7/startseite-ehip-chancen-3cfbd830.webp"
"https://www.ehip.eu/assets/css/reset.min.css,bootstrap.trk17.min.css,container.trk17.min.css,el...-2fa76154.css","text/css","200","OK","Indexierbar","","","111","","https://www.ehip.eu/assets/css/reset.min.css,bootstrap.trk17.min.css,container.trk17.min.css,el...-2fa76154.css"
"https://www.ehip.eu/assets/images/2/bachelor-personalmanagement-fernstudium-ehip-hauptbild-4c10b0f8.webp","image/webp","200","OK","Indexierbar","","","104","","https://www.ehip.eu/assets/images/2/bachelor-personalmanagement-fernstudium-ehip-hauptbild-4c10b0f8.webp"
"https://www.ehip.eu/study-guide/deine-studieninformationen/","text/html; charset=UTF-8","200","OK","Indexierbar","","4b697be9874a0358f28e64dc8f5ed7","59","https://www.ehip.eu/study-guide/deine-studieninformationen/","https://www.ehip.eu/study-guide/deine-studieninformationen/"
"https://www.ehip.eu/files/_assets/img/logo/logo-ehip-white-small.png","image/png","200","OK","Indexierbar","","","68","","https://www.ehip.eu/files/_assets/img/logo/logo-ehip-white-small.png"
"https://www.ehip.eu/assets/images/3/logo-ministerium-fuer-wissenschaft-bw-01c21876.png","image/png","200","OK","Indexierbar","","","86","","https://www.ehip.eu/assets/images/3/logo-ministerium-fuer-wissenschaft-bw-01c21876.png"
"https://www.ehip.eu/fernstudium/bachelor/gesundheitsmanagement-studium/","text/html; charset=UTF-8","200","OK","Indexierbar","","bf0876424088474d8fb433d0ec23beee","71","https://www.ehip.eu/fernstudium/bachelor/gesundheitsmanagement-studium/","https://www.ehip.eu/fernstudium/bachelor/gesundheitsmanagement-studium/"
"https://www.ehip.eu/assets/images/3/startseite-ehip-vorteile-dekoration-2-0b2012f4.webp","image/webp","200","OK","Indexierbar","","","87","","https://www.ehip.eu/assets/images/3/startseite-ehip-vorteile-dekoration-2-0b2012f4.webp"
"https://www.ehip.eu/fernstudium/","text/html; charset=UTF-8","200","OK","Indexierbar","","757f4ce24d436c3d5e30c584b382c42f","32","https://www.ehip.eu/fernstudium/","https://www.ehip.eu/fernstudium/"
"https://www.ehip.eu/assets/images/a/startseite-ehip-deine-bedingungen-6fcb9aa3.webp","image/webp","200","OK","Indexierbar","","","83","","https://www.ehip.eu/assets/images/a/startseite-ehip-deine-bedingungen-6fcb9aa3.webp"
"https://www.ehip.eu/hochschule/","text/html; charset=UTF-8","200","OK","Indexierbar","","1b6320f82a7dfce2c2498bb86d4d7d00","31","https://www.ehip.eu/hochschule/","https://www.ehip.eu/hochschule/"
"https://www.ehip.eu/assets/images/c/bachelor-fitnesswissenschaft-fernstudium-ehip-hauptbild-8e1a1a42.webp","image/webp","200","OK","Indexierbar","","","105","","https://www.ehip.eu/assets/images/c/bachelor-fitnesswissenschaft-fernstudium-ehip-hauptbild-8e1a1a42.webp"
"https://www.ehip.eu/study-guide/","text/html; charset=UTF-8","200","OK","Indexierbar","","81f8ed3ab84e43a41cb06a5c9cd31fa7","32","https://www.ehip.eu/study-guide/","https://www.ehip.eu/study-guide/"
"https://www.ehip.eu/study-guide/dein-leben-dein-studium/","text/html; charset=UTF-8","200","OK","Indexierbar","","f8dfa1974f91b2ce53d2cb88f0e0d8ce","56","https://www.ehip.eu/study-guide/dein-leben-dein-studium/","https://www.ehip.eu/study-guide/dein-leben-dein-studium/"
"https://www.ehip.eu/study-guide/deine-lernwelt/","text/html; charset=UTF-8","200","OK","Indexierbar","","e6bd986d78c0766f326907e59cc14074","47","https://www.ehip.eu/study-guide/deine-lernwelt/","https://www.ehip.eu/study-guide/deine-lernwelt/"
"https://www.ehip.eu/study-guide/dein-studium/","text/html; charset=UTF-8","200","OK","Indexierbar","","ed3533fe79c33132cfb60d47b654fd8b","45","https://www.ehip.eu/study-guide/dein-studium/","https://www.ehip.eu/study-guide/dein-studium/"
"https://www.ehip.eu/files/_assets/img/logo/logo-ehip.png","image/png","200","OK","Indexierbar","","","56","","https://www.ehip.eu/files/_assets/img/logo/logo-ehip.png"
"https://www.ehip.eu/wer-kann-bei-uns-studieren/","text/html; charset=UTF-8","200","OK","Indexierbar","","8bd7d87c0473db269cff2d9f0775bf25","47","https://www.ehip.eu/wer-kann-bei-uns-studieren/","https://www.ehip.eu/wer-kann-bei-uns-studieren/"
"https://www.ehip.eu/files/_assets/img/logo/logo-ehip-white.png","image/png","200","OK","Indexierbar","","","62","","https://www.ehip.eu/files/_assets/img/logo/logo-ehip-white.png"
"https://www.ehip.eu/bachelor-of-arts/","text/html; charset=UTF-8","200","OK","Indexierbar","","2e69e01bae8691fc4f5160cd714e5592","37","https://www.ehip.eu/bachelor-of-arts/","https://www.ehip.eu/bachelor-of-arts/"
"https://www.ehip.eu/ueber-uns/","text/html; charset=UTF-8","200","OK","Indexierbar","","5439f6454cf6154524f1100f2371827c","30","https://www.ehip.eu/ueber-uns/","https://www.ehip.eu/ueber-uns/"
"https://www.ehip.eu/study-guide/anrechnung-und-anerkennung/","text/html; charset=UTF-8","200","OK","Indexierbar","","d9bd2e7e1d1cbfe0790fbb68dec38860","59","https://www.ehip.eu/study-guide/anrechnung-und-anerkennung/","https://www.ehip.eu/study-guide/anrechnung-und-anerkennung/"
"https://www.ehip.eu/assets/images/0/startseite-ehip-bildungsbereiche-wirtschaft-neu-6f991d24.webp","image/webp","200","OK","Indexierbar","","","97","","https://www.ehip.eu/assets/images/0/startseite-ehip-bildungsbereiche-wirtschaft-neu-6f991d24.webp"
"https://www.ehip.eu/assets/images/c/ehip-logo-bundesverband-der-fernstudienanbieter-21502664.png","image/png","200","OK","Indexierbar","","","96","","https://www.ehip.eu/assets/images/c/ehip-logo-bundesverband-der-fernstudienanbieter-21502664.png"
"https://www.ehip.eu/studienplatz-sichern/","text/html; charset=UTF-8","200","OK","Nicht indexierbar","noindex","ae2132815adb022f8245e41f4847b5c7","41","https://www.ehip.eu/studienplatz-sichern/","https://www.ehip.eu/studienplatz-sichern/"
"https://www.ehip.eu/assets/images/3/logo-kursfinder-517bac8d.png","image/png","200","OK","Indexierbar","","","64","","https://www.ehip.eu/assets/images/3/logo-kursfinder-517bac8d.png"
"https://www.ehip.eu/wirtschaft-und-management-bachelorstudiengaenge/","text/html; charset=UTF-8","200","OK","Indexierbar","","8e9fec1d2a12d3ef90c899439b654a43","68","https://www.ehip.eu/wirtschaft-und-management-bachelorstudiengaenge/","https://www.ehip.eu/wirtschaft-und-management-bachelorstudiengaenge/"
"https://www.ehip.eu/study-guide/bafoeg-fernstudium/","text/html; charset=UTF-8","200","OK","Indexierbar","","66fa87a9feccc1a3c5cec14d64dbf1d2","51","https://www.ehip.eu/study-guide/bafoeg-fernstudium/","https://www.ehip.eu/study-guide/bafoeg-fernstudium/"
